Temp,Pressure,Altitude,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z
21.5,100960,29.93137664,1,1023,-35,85,-343,13
21.5,100965,30.84985382,3,1021,-32,83,-343,17
21.5,100966,29.68089693,182,1193,-96,84,-345,14
21.6,100945,31.68490339,-932,1829,-109,139,-384,14
21.7,100872,37.28146397,-179,1988,-156,45,-263,152
21.6,100779,47.73085889,43,2014,-169,193,-221,123
21.2,100539,68.5773743,-19,2034,-229,348,-226,-272
20.5,100305,85.1839907,358,2039,-500,-207,-290,-464
20.7,100214,90.89339638,375,2040,-777,113,-233,163
19.7,99918,114.0149403,684,2040,-1013,-173,-260,-522
19.9,99957,118.8138485,953,2032,-1518,365,-187,-67
19.3,99776,127.4069043,1166,359,-1529,-348,-265,4
18.7,99807,128.7554797,1042,-984,-1015,95,-249,-558
19.1,99965,107.4516026,764,-1205,-919,294,-133,124
18.6,99976,99.9677252,811,-1027,-815,-421,-225,-72
18.4,100029,115.6985154,938,-829,-763,-199,-263,-515
18.8,100101,101.0605398,663,-753,-814,-3,-105,286
17.8,99951,111.1534886,521,-540,-660,-197,-199,-578
18.6,100148,96.26982022,456,-427,-548,256,-28,208
17.5,99960,115.0250526,305,-316,-428,-441,-102,-437
18.3,100126,99.79961007,167,-323,-363,74,48,309
18.2,100124,99.9677252,193,-295,-309,369,89,-528
17.2,99947,114.5199842,214,-284,-229,-460,42,-473
17.9,100131,98.37074122,116,-237,-128,-213,197,292
18.3,100231,93.49725447,118,-217,-102,441,266,-203
17.2,99999,109.6389213,185,-245,-111,-177,188,-678
17.5,100075,101.3968136,202,-284,-137,-450,322,32
18,100252,90.64144471,203,-282,-214,265,442,-8
17.2,100084,105.0965433,125,-304,-231,-23,350,-641
17.3,100134,96.01773823,121,-421,-31,-443,405,-127
18.2,100387,68.5773743,-1352,-1406,861,247,377,-511
18.4,100481,67.15278892,852,43,-1033,185,-364,-176
18.5,100450,74.1938172,745,131,-1713,-444,-162,-5
18.3,100485,68.32596271,411,756,-676,26,-411,-189
18.5,100557,63.63406118,-93,1149,-121,260,-325,-209
18.8,100612,59.61411482,-504,882,-295,70,-186,229
18,100432,79.64550503,88,809,-264,-431,-231,-209
18,100483,82.49829592,127,888,-199,-305,-270,-425
17.7,100392,76.54188622,590,835,-330,-466,-78,-409
18.3,100529,64.72306402,605,523,-897,-16,-49,307
18.6,100660,55.1772276,61,687,-398,142,-327,-436
18,100566,64.47174555,409,975,-320,-280,-349,-168
18,100525,64.30420328,565,759,-502,-359,-267,-22
18.6,100703,51.74621603,99,562,-883,-29,-67,297
18.6,100693,52.75029744,67,774,-637,-104,-11,312
18.4,100683,54.59136504,-50,709,-758,-306,-39,236
17.5,100528,65.89596381,147,789,-427,-363,-54,-558
18.2,100728,48.06541281,-63,668,389,191,-190,-563
18.2,100697,54.59136504,-128,876,-353,-76,-323,99
17.5,100595,60.70269693,259,912,-16,-201,-312,-447
18,100718,47.39631571,177,788,448,-30,-408,-219
18.5,100850,39.20336527,-119,1132,-31,39,-337,61
18.2,100748,49.23643626,-202,962,-636,-246,-198,179
17.4,100645,55.76312314,369,677,-445,-138,-149,-629
18.1,100826,39.28693425,91,886,174,322,-187,-438
18.4,100870,39.03622933,-314,935,-566,275,50,201
18.6,100937,31.76841203,153,1248,-1414,-18,71,318
18.5,100918,34.94223687,308,119,-1214,-357,250,182
17.8,100775,44.2186918,448,341,-190,-338,-4,-587
18.3,100869,37.36501752,374,629,-229,-351,-279,-308
18.2,100874,37.69923842,57,758,-134,-283,-340,-174
18.3,100882,37.61568219,-13,864,-315,-327,-299,-96
18.3,100869,38.20058989,270,909,-664,-396,-192,22
18.3,100860,39.11979696,390,398,-444,-419,141,152
18.3,100831,40.79129056,430,-292,-424,-255,524,-292
18.6,100898,44.55313285,-558,-760,197,151,435,-497
